"id","name","desc","include","documentId","createdBy","updatedBy","created_at","updated_at"
190,Roles and Responsibilities,Defines key personnel involved in information security and their respective responsibilities.,1,37,1,1,"2025-03-19 11:33:35.985","2025-03-19 11:33:35.985"
191,Detailed Security Protocols,"Specifies key security controls, access management, and incident response measures.",1,37,1,1,"2025-03-19 11:33:36.095","2025-03-19 11:33:36.095"
192,Security Awareness and Training,"Ensures all personnel are educated on security best practices, threats, and compliance requirements.",1,37,1,1,"2025-03-19 11:33:36.187","2025-03-19 11:33:36.187"
193,Monitoring and Review,"Ensures security controls are continuously monitored, tested, and improved based on assessments.",1,37,1,1,"2025-03-19 11:33:36.274","2025-03-19 11:33:36.274"
194,Roles and Responsibilities,"Defines responsibilities for conducting, facilitating, and documenting the ISMS management reviews.",1,38,1,1,"2025-03-19 11:59:44.199","2025-03-19 11:59:44.199"
195,Review Frequency and Triggers,Defines how often ISMS reviews occur and what events trigger extra (emergency) reviews.,1,38,1,1,"2025-03-19 11:59:44.287","2025-03-19 11:59:44.287"
196,Review Outcomes,"Defines the expected outcomes of management reviews, including documentation of findings and decisions.",1,38,1,1,"2025-03-19 11:59:44.345","2025-03-19 11:59:44.345"
197,Review Decisions,"Describes the decisions made during the management review, including policy changes and corrective actions.",1,38,1,1,"2025-03-19 11:59:44.461","2025-03-19 11:59:44.461"
198,Audit Integration,Explains how the outcomes of management reviews are used in the audit process.,1,38,1,1,"2025-03-19 11:59:44.535","2025-03-19 11:59:44.535"
199,Secure Development Lifecycle,Defines security best practices and technologies implemented at different stages of the SDLC.,1,39,1,1,"2025-03-20 06:46:33.028","2025-03-20 06:46:33.028"
200,Secure Coding Practices,Ensures security-first coding techniques and automated vulnerability detection are applied.,1,39,1,1,"2025-03-20 06:46:33.144","2025-03-20 06:46:33.144"
201,Secure Deployment Practices,Ensures security measures are integrated into deployment pipelines and runtime environments.,1,39,1,1,"2025-03-20 06:46:33.229","2025-03-20 06:46:33.229"
202,AI-Driven Security Maintenance,Leverages AI and machine learning for continuous security assessment and risk prediction.,1,39,1,1,"2025-03-20 06:46:33.313","2025-03-20 06:46:33.313"
203,Supplier Security Requirements,Defines mandatory security measures suppliers must implement to protect organizational data.,1,40,1,1,"2025-03-20 08:06:14.225","2025-03-20 08:06:14.225"
204,Supplier Selection and Evaluation,Ensures that suppliers are assessed based on security posture before engagement.,1,40,1,1,"2025-03-20 08:06:14.366","2025-03-20 08:06:14.366"
205,Contractual Agreements,Ensures suppliers are legally bound to security commitments through contracts and agreements.,1,40,1,1,"2025-03-20 08:06:14.449","2025-03-20 08:06:14.449"
206,Monitoring and Review of Supplier Security,Establishes continuous monitoring mechanisms to ensure ongoing supplier compliance.,1,40,1,1,"2025-03-20 08:06:14.530","2025-03-20 08:06:14.530"
207,Network Access Control,Establishes procedures for controlling who can access the network.,1,41,1,1,"2025-03-20 08:45:45.619","2025-03-20 08:45:45.619"
208,Network Infrastructure Security,"",1,41,1,1,"2025-03-20 08:45:45.670","2025-03-20 08:45:45.670"
209,Network Monitoring and Incident Response,Provides guidelines to secure network hardware and software components.,1,41,1,1,"2025-03-20 08:45:45.703","2025-03-20 08:45:45.703"
210,Network Device Management,Provides guidance on managing and maintaining network devices securely.,1,41,1,1,"2025-03-20 08:45:45.733","2025-03-20 08:45:45.733"
211,Access Controls,"Defines user authentication, authorization, and secure access mechanisms.",1,41,1,1,"2025-03-20 08:45:45.779","2025-03-20 08:45:45.779"
212,Perimeter Defense and Network Monitoring,"Ensures firewalls, IDS/IPS, and continuous network monitoring are implemented.",1,41,1,1,"2025-03-20 08:45:45.839","2025-03-20 08:45:45.839"
213,Roles and Responsibilities,Defines responsibilities of personnel involved in cloud security management.,1,42,1,1,"2025-03-20 09:09:01.242","2025-03-20 09:09:01.242"
214,Policy Details and Guidelines,Defines technical controls and best practices for securing cloud environments.,1,42,1,1,"2025-03-20 09:09:01.318","2025-03-20 09:09:01.318"
215,Monitoring and Incident Response,"Defines monitoring, logging, and incident handling processes for cloud security.",1,42,1,1,"2025-03-20 09:09:01.360","2025-03-20 09:09:01.360"
216,Secure Access Control,"Defines identity management, authentication, and privileged access controls.",1,42,1,1,"2025-03-20 09:09:01.466","2025-03-20 09:09:01.466"
217,Compliance and Auditing,"Ensures adherence to legal, regulatory, and security compliance standards.",1,42,1,1,"2025-03-20 09:09:01.518","2025-03-20 09:09:01.518"
218,Data Protection and Encryption,Defines encryption requirements for cloud data storage and transmission.,1,42,1,1,"2025-03-20 09:09:01.562","2025-03-20 09:09:01.562"
219,Roles and Responsibilities,Defines the key roles involved in the vulnerability management process.,1,43,1,1,"2025-03-20 09:30:59.384","2025-03-20 09:30:59.384"
220,Vulnerability Identification,Mechanisms for discovering security weaknesses across the environment.,1,43,1,1,"2025-03-20 09:30:59.536","2025-03-20 09:30:59.536"
221,Risk Assessment and Prioritization,Evaluating discovered vulnerabilities by severity and business impact.,1,43,1,1,"2025-03-20 09:30:59.803","2025-03-20 09:30:59.803"
222,Remediation and Mitigation,Actions taken to fix or reduce risk from identified vulnerabilities.,1,43,1,1,"2025-03-20 09:31:00.341","2025-03-20 09:31:00.341"
223,Monitoring and Continuous Improvement,"Ongoing scanning, logging, and enhancements to strengthen the vulnerability management process.",1,43,1,1,"2025-03-20 09:31:00.790","2025-03-20 09:31:00.790"
224,Compliance and Reporting,Ensuring adherence to standards and providing transparency through regular reporting.,1,43,1,1,"2025-03-20 09:31:01.156","2025-03-20 09:31:01.156"
225,Training and Awareness,Equipping staff and technical teams with knowledge to identify and handle vulnerabilities.,1,43,1,1,"2025-03-20 09:31:01.534","2025-03-20 09:31:01.534"
226,Exception Handling and Governance,Procedures for handling deviations and ensuring alignment with best practices.,1,43,1,1,"2025-03-20 09:31:01.994","2025-03-20 09:31:01.994"
236,Asset Identification and Register Management,Procedures for identifying and recording assets.,1,45,1,1,"2025-03-21 07:43:39.581","2025-03-21 07:43:39.581"
237,"Acquisition, Capitalization, and Initial Measurement",Guidelines for asset acquisition and capitalization.,1,45,1,1,"2025-03-21 07:43:39.617","2025-03-21 07:43:39.617"
238,Depreciation and Amortization,Details the methods and periods for asset depreciation.,1,45,1,1,"2025-03-21 07:43:39.650","2025-03-21 07:43:39.650"
239,Impairment and Revaluation,Procedures for handling asset impairment and revaluation.,1,45,1,1,"2025-03-21 07:43:39.682","2025-03-21 07:43:39.682"
240,Asset Maintenance and Risk Management,Plans for asset maintenance and associated risk management.,1,45,1,1,"2025-03-21 07:43:39.719","2025-03-21 07:43:39.719"
241,Asset Disposal and Write-offs,Defines procedures for the disposal or write-off of assets.,1,45,1,1,"2025-03-21 07:43:39.768","2025-03-21 07:43:39.768"
242,Reporting and Disclosure,Requirements for internal and external reporting of asset management activities.,1,45,1,1,"2025-03-21 07:43:39.810","2025-03-21 07:43:39.810"
243,Policy Review and Amendment,Scheduled review and update of the asset management policy.,1,45,1,1,"2025-03-21 07:43:39.860","2025-03-21 07:43:39.860"
244,Compliance and Enforcement,Ensures that the policy is enforced and followed throughout the organization.,1,45,1,1,"2025-03-21 07:43:39.905","2025-03-21 07:43:39.905"
245,Responsibilities,Outlines roles and responsibilities for ensuring physical security.,1,46,1,1,"2025-03-21 08:15:34.667","2025-03-21 08:15:34.667"
246,Policy Details and Guidelines,Provides detailed guidelines for securing physical environments and assets.,1,46,1,1,"2025-03-21 08:15:34.718","2025-03-21 08:15:34.718"
247,Monitoring and Review,Outlines ongoing monitoring and review processes to ensure physical security effectiveness.,1,46,1,1,"2025-03-21 08:15:35.028","2025-03-21 08:15:35.028"
248,Records,Specifies the record-keeping requirements for security-related events and audits.,1,46,1,1,"2025-03-21 08:15:35.080","2025-03-21 08:15:35.080"
249,Approval and Authorization,Defines the process for the approval and ongoing authorization of the security policy.,1,46,1,1,"2025-03-21 08:15:35.115","2025-03-21 08:15:35.115"
250,Business Continuity Management Framework,Framework for the strategic planning and management of business continuity.,1,47,1,1,"2025-03-21 08:29:14.802","2025-03-21 08:29:14.802"
251,Risk Assessment and Business Impact Analysis,Evaluation of risks and their impact on business operations.,1,47,1,1,"2025-03-21 08:29:14.878","2025-03-21 08:29:14.878"
252,Technical Architecture and System Dependencies,Overview of critical IT systems and infrastructure.,1,47,1,1,"2025-03-21 08:29:14.944","2025-03-21 08:29:14.944"
253,Training and Awareness Programs,Programs designed to enhance staff understanding and preparedness.,1,47,1,1,"2025-03-21 08:29:15.031","2025-03-21 08:29:15.031"
254,Compliance and Legal Considerations,Ensures that continuity plans adhere to legal and regulatory requirements.,1,47,1,1,"2025-03-21 08:29:15.070","2025-03-21 08:29:15.070"
255,Continuous Improvement and Monitoring,Ongoing efforts to improve business continuity measures.,1,47,1,1,"2025-03-21 08:29:15.098","2025-03-21 08:29:15.098"
256,Incident Management Framework,Details the key principles and roles involved in managing incidents.,1,48,1,1,"2025-03-21 09:11:45.654","2025-03-21 09:11:45.654"
257,Tools and Resources,Details the software and resources used for incident management.,1,48,1,1,"2025-03-21 09:11:45.759","2025-03-21 09:11:45.759"
258,Performance Metrics and Reporting,Metrics used to measure incident management performance.,1,48,1,1,"2025-03-21 09:11:45.802","2025-03-21 09:11:45.802"
259,Acceptable Use Guidelines,Provides detailed guidelines on how corporate assets should be used to protect information in line with ISO 27001 requirements.,1,49,1,1,"2025-03-21 10:37:39.624","2025-03-21 10:37:39.624"
260,Monitoring & Compliance,Describes how the organization monitors user activities and ensures compliance with ISO 27001.,1,49,1,1,"2025-03-21 10:37:40.310","2025-03-21 10:37:40.310"
261,Incident Reporting,Outlines procedures for promptly reporting and handling security incidents in line with ISO 27001.,1,49,1,1,"2025-03-21 10:37:40.416","2025-03-21 10:37:40.416"
262,Violations & Disciplinary Actions,Details the types of policy violations and the corresponding disciplinary measures in line with ISO 27001.,1,49,1,1,"2025-03-21 10:37:40.532","2025-03-21 10:37:40.532"
263,Risk Assessment,Process of identifying and addressing security risks within ISMS.,1,50,1,1,"2025-03-24 07:49:30.863","2025-03-24 07:49:30.863"
264,Mapping to Annex A Controls,Links organizational security controls to ISO 27001 Annex A.,1,50,1,1,"2025-03-24 07:49:30.951","2025-03-24 07:49:30.951"
265,Justification for Excluded Controls,Explains why certain security controls are not applicable.,1,50,1,1,"2025-03-24 07:49:31.056","2025-03-24 07:49:31.056"
266,"Legal, Regulatory, and Contractual Compliance","Ensures ISMS aligns with applicable laws, regulations, and contracts.",1,50,1,1,"2025-03-24 07:49:31.117","2025-03-24 07:49:31.117"
283,Core Principles and Policy Statements,This section outlines the core principles driving the policy framework.,1,52,1,1,"2025-03-25 07:51:54.475","2025-03-25 07:51:54.475"
284,Asset Management and Protection,This section defines procedures for managing organizational assets.,1,52,1,1,"2025-03-25 07:51:54.783","2025-03-25 07:51:54.783"
285,Endpoint and Mobile Security,This section focuses on securing mobile and endpoint devices.,1,52,1,1,"2025-03-25 07:51:54.816","2025-03-25 07:51:54.816"
286,Operational Security,This section outlines measures to protect the network and IT infrastructure.,1,52,1,1,"2025-03-25 07:51:54.847","2025-03-25 07:51:54.847"
287,Incident Management and Response,This section defines the procedures for handling security incidents.,1,52,1,1,"2025-03-25 07:51:54.885","2025-03-25 07:51:54.885"
288,Supplier and Third-Party Management,This section sets requirements for managing vendor and third-party security.,1,52,1,1,"2025-03-25 07:51:54.923","2025-03-25 07:51:54.923"
289,Detailed Policy Areas,Detailed operational policy areas that support the core principles.,1,52,1,1,"2025-03-25 07:51:54.955","2025-03-25 07:51:54.955"
290,Roles and Responsibilities,Identifies key roles and their duties related to information security.,1,52,1,1,"2025-03-25 07:51:55.302","2025-03-25 07:51:55.302"
291,Implementation and Maintenance,Details the practical steps for putting the policy into action.,1,52,1,1,"2025-03-25 07:51:55.460","2025-03-25 07:51:55.460"
292,Monitoring and Review,Focuses on ongoing monitoring of the policy's effectiveness.,1,52,1,1,"2025-03-25 07:51:55.538","2025-03-25 07:51:55.538"
293,Enforcement,Outlines the consequences of non-compliance with the policy.,1,52,1,1,"2025-03-25 07:51:55.618","2025-03-25 07:51:55.618"
294,Organizational Context,Defines the internal and external factors influencing the ISMS.,1,53,1,1,"2025-03-25 08:11:01.368","2025-03-25 08:11:01.368"
295,ISMS Framework,Outlines the ISMS approach based on the PDCA methodology.,1,53,1,1,"2025-03-25 08:11:01.478","2025-03-25 08:11:01.478"
296,Scope Boundaries,Defines the extent of ISMS coverage and applicable assets.,1,53,1,1,"2025-03-25 08:11:01.640","2025-03-25 08:11:01.640"
297,Monitoring and Review,Ensures the ISMS is consistently evaluated and improved.,1,53,1,1,"2025-03-25 08:11:01.706","2025-03-25 08:11:01.706"
298,Data Restoration Procedures,Outlines how lost or compromised data is restored.,1,53,1,1,"2025-03-25 08:11:01.796","2025-03-25 08:11:01.796"
311,Applicable Laws and Regulations,"",1,57,1,1,"2025-03-26 09:20:48.672","2025-03-26 09:20:48.672"
312,Contractual Obligations,"",1,57,1,1,"2025-03-26 09:20:48.944","2025-03-26 09:20:48.944"
313,Compliance Framework,"",1,57,1,1,"2025-03-26 09:20:49.090","2025-03-26 09:20:49.090"
314,Implementation and Maintenance,"",1,57,1,1,"2025-03-26 09:20:49.172","2025-03-26 09:20:49.172"
316,Access Control,"",1,59,1,1,"2025-03-26 12:51:15.176","2025-03-26 12:51:15.176"
317,Data Backup Policy,"Defines classifications, encryption, and backup processes.",1,60,1,1,"2025-03-27 09:30:08.418","2025-03-27 09:30:08.418"
