"id","name","desc","include","categoryId","inherent_likelihood","residual_likelihood","inherent_impact","residual_impact","createdBy","updatedBy","created_at","updated_at"
1086,Incident Management,"Processes for detecting, reporting, and handling security incidents.",1,246,,,,,1,1,"2025-03-21 08:15:34.859","2025-03-21 08:15:34.859"
1087,Supplier and Third-Party Security,Outlines requirements for suppliers and third-party access to facilities.,1,246,,,,,1,1,"2025-03-21 08:15:34.885","2025-03-21 08:15:34.885"
1088,Business Continuity and Disaster Recovery,Ensures continuity of operations during physical incidents.,1,246,,,,,1,1,"2025-03-21 08:15:34.911","2025-03-21 08:15:34.911"
1089,Compliance and Auditing Procedures,Details procedures for auditing and ensuring policy adherence.,1,246,,,,,1,1,"2025-03-21 08:15:34.944","2025-03-21 08:15:34.944"
1090,Training and Awareness,Outlines training programs to educate staff on physical security.,1,246,,,,,1,1,"2025-03-21 08:15:34.968","2025-03-21 08:15:34.968"
1091,Policy Review and Maintenance,Details the process for regularly reviewing and updating the policy.,1,246,,,,,1,1,"2025-03-21 08:15:34.996","2025-03-21 08:15:34.996"
1092,Continuous Monitoring,Uses automated systems to monitor access and surveillance data.,1,247,,,,,1,1,"2025-03-21 08:15:35.046","2025-03-21 08:15:35.046"
1093,Record Management,Details the types of records to be maintained.,1,248,,,,,1,1,"2025-03-21 08:15:35.089","2025-03-21 08:15:35.089"
1094,Policy Approval,Outlines the approval hierarchy and process.,1,249,,,,,1,1,"2025-03-21 08:15:35.129","2025-03-21 08:15:35.129"
1095,Governance and Structure,Describes the organizational structure and roles for managing business continuity.,1,250,,,,,1,1,"2025-03-21 08:29:14.816","2025-03-21 08:29:14.816"
1096,Risk Identification,Process for identifying potential risks that could impact business operations.,1,251,,,,,1,1,"2025-03-21 08:29:14.888","2025-03-21 08:29:14.888"
1097,Infrastructure Overview,Detailed description of the main IT systems and their dependencies.,1,252,,,,,1,1,"2025-03-21 08:29:14.956","2025-03-21 08:29:14.956"
1098,Employee Training Sessions,Regular training provided to employees on business continuity.,1,253,,,,,1,1,"2025-03-21 08:29:15.046","2025-03-21 08:29:15.046"
1099,Regulatory Compliance,Adherence to applicable laws and regulations.,1,254,,,,,1,1,"2025-03-21 08:29:15.078","2025-03-21 08:29:15.078"
1100,Monitoring and Review,Continuous monitoring and periodic review of the business continuity approach.,1,255,,,,,1,1,"2025-03-21 08:29:15.105","2025-03-21 08:29:15.105"
1101,Key Principles,"Proactive Detection, Timely Response, Clear Communication, Continuous Improvement.",1,256,,,,,1,1,"2025-03-21 09:11:45.669","2025-03-21 09:11:45.669"
1102,Roles and Responsibilities,"Duties of Incident Manager, IT Support Team, Business Unit Representatives.",1,256,,,,,1,1,"2025-03-21 09:11:45.708","2025-03-21 09:11:45.708"
1103,Incident Management Team,Cross-functional team activation for high-severity incidents.,1,256,,,,,1,1,"2025-03-21 09:11:45.737","2025-03-21 09:11:45.737"
1104,Documentation and Templates,"Incident report template, security role matrix.",1,257,,,,,1,1,"2025-03-21 09:11:45.776","2025-03-21 09:11:45.776"
1105,Key Performance Indicators,"MTTD, MTTR, incident volume, user satisfaction.",1,258,,,,,1,1,"2025-03-21 09:11:45.814","2025-03-21 09:11:45.814"
1106,Incident Reports,"Daily/Weekly, Monthly/Quarterly incident reports.",1,258,,,,,1,1,"2025-03-21 09:11:45.846","2025-03-21 09:11:45.846"
1107,General Use,"Describes acceptable use including intended purpose, prohibited activities, and data classification measures.",1,259,,,,,1,1,"2025-03-21 10:37:39.645","2025-03-21 10:37:39.645"
1108,Access Control,Defines rules for granting and managing access to ensure only authorized personnel access sensitive information.,1,259,,,,,1,1,"2025-03-21 10:37:39.748","2025-03-21 10:37:39.748"
1109,Internet & Email Usage,Outlines proper use of the internet and email to reduce security risks.,1,259,,,,,1,1,"2025-03-21 10:37:39.853","2025-03-21 10:37:39.853"
1110,Software & Hardware Usage,"Sets rules for software installation, hardware maintenance, and physical security measures.",1,259,,,,,1,1,"2025-03-21 10:37:39.955","2025-03-21 10:37:39.955"
1111,Data Protection & Confidentiality,"Describes methods for secure storage, encryption, and data transfers to protect sensitive information.",1,259,,,,,1,1,"2025-03-21 10:37:40.051","2025-03-21 10:37:40.051"
1112,Removable Media & Cloud Storage,Establishes safe use requirements for removable media and cloud services.,1,259,,,,,1,1,"2025-03-21 10:37:40.148","2025-03-21 10:37:40.148"
1113,Remote Work & BYOD,Details secure remote access and requirements for using personal devices for work.,1,259,,,,,1,1,"2025-03-21 10:37:40.227","2025-03-21 10:37:40.227"
1114,Monitoring Rights,The organization reserves the right to log and review user activities.,1,260,,,,,1,1,"2025-03-21 10:37:40.326","2025-03-21 10:37:40.326"
1115,Security Audits,Regular internal or external audits verify compliance with security policies.,1,260,,,,,1,1,"2025-03-21 10:37:40.356","2025-03-21 10:37:40.356"
1116,Regulatory Compliance,All monitoring adheres to applicable privacy laws and regulatory requirements.,1,260,,,,,1,1,"2025-03-21 10:37:40.386","2025-03-21 10:37:40.386"
1117,Immediate Notification,"Any suspected breach, malware infection, or data leak must be reported immediately.",1,261,,,,,1,1,"2025-03-21 10:37:40.427","2025-03-21 10:37:40.427"
1118,Incident Response Process,"A formal process is followed for incident containment, investigation, and recovery.",1,261,,,,,1,1,"2025-03-21 10:37:40.461","2025-03-21 10:37:40.461"
1119,Post-Incident Review,A review is conducted after an incident to determine root causes and enhance security measures.,1,261,,,,,1,1,"2025-03-21 10:37:40.495","2025-03-21 10:37:40.495"
1120,Violation Types,Provides examples of policy violations such as unauthorized disclosure or bypassing security protocols.,1,262,,,,,1,1,"2025-03-21 10:37:40.544","2025-03-21 10:37:40.544"
1121,Consequences,Outlines penalties ranging from warnings to termination and possible legal action.,1,262,,,,,1,1,"2025-03-21 10:37:40.577","2025-03-21 10:37:40.577"
1122,Documentation,Requires recording violations for audit and continuous improvement purposes.,1,262,,,,,1,1,"2025-03-21 10:37:40.617","2025-03-21 10:37:40.617"
1123,Threat and Vulnerability Analysis,"Assessment of security risks affecting confidentiality, integrity, and availability.",1,263,,,,,1,1,"2025-03-24 07:49:30.880","2025-03-24 07:49:30.880"
1124,Risk Treatment Planning,Strategies for mitigating identified security risks.,1,263,,,,,1,1,"2025-03-24 07:49:30.925","2025-03-24 07:49:30.925"
1125,Access Control Policies,Defines user authentication and authorization policies.,1,264,,,,,1,1,"2025-03-24 07:49:30.969","2025-03-24 07:49:30.969"
1126,User Registration and De-registration,"Manages access rights for employees, contractors, and third parties.",1,264,,,,,1,1,"2025-03-24 07:49:30.997","2025-03-24 07:49:30.997"
1127,Event Logging,Ensures visibility into security-related activities.,1,264,,,,,1,1,"2025-03-24 07:49:31.022","2025-03-24 07:49:31.022"
1128,Cloud-Based Operations,Exclusions for physical security-related controls.,1,265,,,,,1,1,"2025-03-24 07:49:31.068","2025-03-24 07:49:31.068"
1129,Outsourced Development,Security controls not required for in-house development.,1,265,,,,,1,1,"2025-03-24 07:49:31.095","2025-03-24 07:49:31.095"
1130,Industry-Specific Compliance,"Includes GDPR, ISO 27001, HIPAA, and customer contractual requirements.",1,266,,,,,1,1,"2025-03-24 07:49:31.128","2025-03-24 07:49:31.128"
1156,Confidentiality,Defines the need for ensuring sensitive information is protected.,1,283,,,,,1,1,"2025-03-25 07:51:54.497","2025-03-25 07:51:54.497"
1157,Integrity,Ensures data integrity by preventing unauthorized alterations.,1,283,,,,,1,1,"2025-03-25 07:51:54.601","2025-03-25 07:51:54.601"
1158,Availability,Ensures data and systems are accessible when needed.,1,283,,,,,1,1,"2025-03-25 07:51:54.662","2025-03-25 07:51:54.662"
1159,Compliance,Ensures adherence to relevant laws and standards.,1,283,,,,,1,1,"2025-03-25 07:51:54.709","2025-03-25 07:51:54.709"
1160,Risk Management,"Identifies, assesses, and mitigates potential security risks.",1,283,,,,,1,1,"2025-03-25 07:51:54.757","2025-03-25 07:51:54.757"
1161,Asset Inventory,Ensures that all assets are identified and tracked.,1,284,,,,,1,1,"2025-03-25 07:51:54.793","2025-03-25 07:51:54.793"
1162,Mobile Device Management,Ensures proper security measures for mobile devices.,1,285,,,,,1,1,"2025-03-25 07:51:54.826","2025-03-25 07:51:54.826"
1163,Network Security,Protects the network against unauthorized access and threats.,1,286,,,,,1,1,"2025-03-25 07:51:54.860","2025-03-25 07:51:54.860"
1164,Incident Reporting and Handling,Ensures prompt reporting and management of security incidents.,1,287,,,,,1,1,"2025-03-25 07:51:54.897","2025-03-25 07:51:54.897"
1165,Supplier Security Requirements,"Ensures that third-party vendors adhere to the organization's security policies.
Example: Conducting annual vendor risk assessments.",1,288,,,,,1,1,"2025-03-25 07:51:54.930","2025-03-25 07:51:54.930"
1166,Access Control,Controls to limit access to sensitive data and systems.,1,289,,,,,1,1,"2025-03-25 07:51:54.964","2025-03-25 07:51:54.964"
1167,Data Protection,Ensures that data is properly classified and protected.,1,289,,,,,1,1,"2025-03-25 07:51:55.015","2025-03-25 07:51:55.015"
1168,Incident Management,A structured approach for managing security breaches.,1,289,,,,,1,1,"2025-03-25 07:51:55.091","2025-03-25 07:51:55.091"
1169,Security Awareness and Training,Ensures employees are trained on security risks and best practices.,1,289,,,,,1,1,"2025-03-25 07:51:55.166","2025-03-25 07:51:55.166"
1170,Third-Party Security,Ensures third-party vendors meet the organization's security standards.,1,289,,,,,1,1,"2025-03-25 07:51:55.235","2025-03-25 07:51:55.235"
1171,Top Management,Senior leadership is responsible for policy approval and resource allocation.,1,290,,,,,1,1,"2025-03-25 07:51:55.313","2025-03-25 07:51:55.313"
1172,Information Security Manager / Officer,Oversees the implementation and maintenance of the ISMS.,1,290,,,,,1,1,"2025-03-25 07:51:55.388","2025-03-25 07:51:55.388"
1173,Establishing the ISMS Framework,Documentation and maintenance of ISMS policies and procedures.,1,291,,,,,1,1,"2025-03-25 07:51:55.469","2025-03-25 07:51:55.469"
1174,Performance Monitoring,Tracking security metrics to assess effectiveness.,1,292,,,,,1,1,"2025-03-25 07:51:55.548","2025-03-25 07:51:55.548"
1175,Policy Violations,Consequences for failing to adhere to the policy.,1,293,,,,,1,1,"2025-03-25 07:51:55.628","2025-03-25 07:51:55.628"
1176,Internal Context,"Covers organizational structure, business processes, stakeholders, and security culture.",1,294,,,,,1,1,"2025-03-25 08:11:01.419","2025-03-25 08:11:01.419"
1177,Plan,"Focuses on risk assessment, policies, and security objectives.",1,295,,,,,1,1,"2025-03-25 08:11:01.495","2025-03-25 08:11:01.495"
1178,Do,Implementation of security controls and awareness programs.,1,295,,,,,1,1,"2025-03-25 08:11:01.537","2025-03-25 08:11:01.537"
1179,Check,"Involves performance monitoring, audits, and feedback collection.",1,295,,,,,1,1,"2025-03-25 08:11:01.580","2025-03-25 08:11:01.580"
1180,Act,Focuses on continuous improvement through corrective measures.,1,295,,,,,1,1,"2025-03-25 08:11:01.616","2025-03-25 08:11:01.616"
1181,Technological Boundaries,"Includes networks, systems, and end-user devices.",1,296,,,,,1,1,"2025-03-25 08:11:01.649","2025-03-25 08:11:01.649"
1182,Asset Boundaries,Covers digital and physical assets relevant to ISMS.,1,296,,,,,1,1,"2025-03-25 08:11:01.680","2025-03-25 08:11:01.680"
1183,Performance Measurement,Tracks security metrics through KPIs and KRIs.,1,297,,,,,1,1,"2025-03-25 08:11:01.714","2025-03-25 08:11:01.714"
1184,Management Review,Evaluates ISMS performance and updates policies accordingly.,1,297,,,,,1,1,"2025-03-25 08:11:01.769","2025-03-25 08:11:01.769"
1185,Restoration Requests,Specifies request validation and approval processes for data recovery.,1,298,,,,,1,1,"2025-03-25 08:11:01.895","2025-03-25 08:11:01.895"
1222,Data Protection and Privacy Laws,"",1,311,,,,,1,1,"2025-03-26 09:20:48.685","2025-03-26 09:20:48.685"
1223,Cybersecurity Regulations,"",1,311,,,,,1,1,"2025-03-26 09:20:48.753","2025-03-26 09:20:48.753"
1224,Industry-Specific Regulations,"",1,311,,,,,1,1,"2025-03-26 09:20:48.831","2025-03-26 09:20:48.831"
1225,Intellectual Property Laws,"",1,311,,,,,1,1,"2025-03-26 09:20:48.883","2025-03-26 09:20:48.883"
1226,Customer Contracts,"",1,312,,,,,1,1,"2025-03-26 09:20:48.953","2025-03-26 09:20:48.953"
1227,Vendor and Supplier Agreements,"",1,312,,,,,1,1,"2025-03-26 09:20:49.027","2025-03-26 09:20:49.027"
1228,Compliance Responsibilities,"",1,313,,,,,1,1,"2025-03-26 09:20:49.098","2025-03-26 09:20:49.098"
1229,Monitoring and Auditing,"",1,313,,,,,1,1,"2025-03-26 09:20:49.127","2025-03-26 09:20:49.127"
1230,Reporting and Documentation,"",1,313,,,,,1,1,"2025-03-26 09:20:49.151","2025-03-26 09:20:49.151"
1231,Risk Assessment,"",1,314,,,,,1,1,"2025-03-26 09:20:49.184","2025-03-26 09:20:49.184"
1232,Control Implementation,"",1,314,,,,,1,1,"2025-03-26 09:20:49.211","2025-03-26 09:20:49.211"
1233,Continuous Improvement,"",1,314,,,,,1,1,"2025-03-26 09:20:49.245","2025-03-26 09:20:49.245"
1246,User Access Management,"",1,316,,,,,1,1,"2025-03-26 12:51:15.185","2025-03-26 12:51:15.185"
1247,Network Access Control,"",1,316,,,,,1,1,"2025-03-26 12:51:15.292","2025-03-26 12:51:15.292"
1248,Privileged Access Management,"",1,316,,,,,1,1,"2025-03-26 12:51:15.344","2025-03-26 12:51:15.344"
1249,Access Monitoring,"",1,316,,,,,1,1,"2025-03-26 12:51:15.410","2025-03-26 12:51:15.410"
1250,Access Reviews,"",1,316,,,,,1,1,"2025-03-26 12:51:15.459","2025-03-26 12:51:15.459"
1251,Physical Access Control,"",1,316,,,,,1,1,"2025-03-26 12:51:15.511","2025-03-26 12:51:15.511"
1252,Session Management,"",1,316,,,,,1,1,"2025-03-26 12:51:15.562","2025-03-26 12:51:15.562"
1253,Access Revocation,"",1,316,,,,,1,1,"2025-03-26 12:51:15.591","2025-03-26 12:51:15.591"
1254,Third-Party Access,"",1,316,,,,,1,1,"2025-03-26 12:51:15.632","2025-03-26 12:51:15.632"
1255,Logging and Audit Trails,"",1,316,,,,,1,1,"2025-03-26 12:51:15.662","2025-03-26 12:51:15.662"
1256,Access Change Management,"",1,316,,,,,1,1,"2025-03-26 12:51:15.689","2025-03-26 12:51:15.689"
1257,Compliance and Reporting,"",1,316,,,,,1,1,"2025-03-26 12:51:15.716","2025-03-26 12:51:15.716"
1258,Data Classification,Identifies the importance of different data types and handling procedures.,1,317,,,,,1,1,"2025-03-27 09:30:08.435","2025-03-27 09:30:08.435"
1259,Backup Schedules,"Details the frequency of full, incremental, and differential backups.",1,317,,,,,1,1,"2025-03-27 09:30:08.555","2025-03-27 09:30:08.555"
